cat_id,url_old,cat_name_old,age_old,gender_old,cafe_cat_old,kid_approved_old,dog_approved_old,companion_cat_old,bonded_pair_old,single_cat_old,type_old,description_old,system_import_at_old,url_new,cat_name_new,age_new,gender_new,cafe_cat_new,kid_approved_new,dog_approved_new,companion_cat_new,bonded_pair_new,single_cat_new,type_new,description_new,system_import_at_new,was_url_modified,was_cat_name_modified,was_age_modified,was_gender_modified,was_cafe_cat_modified,was_kid_approved_modified,was_dog_approved_modified,was_companion_cat_modified,was_bonded_pair_modified,was_single_cat_modified,was_type_modified,was_description_modified,was_modified,change_type
18578528,https://catcafebk.com/our-cats/?cat=18578528,Butterhead & Mesclun,"8 Months 17 Days "," Female",False,True,True,False,True,False,"Domestic Short Hair ","Mesclun and Butterhead are two active sisters who love to wrestle and climb on the cat tree. They’re always ready to play and are learning about how much scritches can be! When they’re not playing, they split their time exploring, kneading fleece, and taking adorable naps. Butterhead (black & white) will follow you around begging for scritches. She will reward you with lots of headbutts and brush against the leg. Mesclun is still not too sure about scritches, but if there is Churu involved, she will happily accept a pet or two. She is very curious and will be the first to explore a new area and is comfortable enjoying your company from a close distance. The pair enjoy long sessions with a cat dancer, pouncing on toy mice, cuddles and catnip. They both get along well with other cats and are looking for a patient family ready to help them continue practicing being brave.",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=18578528,Butterhead & Mesclun,"9 Months 22 Days "," Female",False,True,True,False,True,False,"Domestic Short Hair ","Mesclun and Butterhead are two active sisters who love to wrestle and zoom around the home. After play time, you can catch them snuggling up for a nap in the sun. Butterhead (black & white) will happily greet you at the door after a long day of work. She’ll then bribe you for scritches by stretching out on the floor and flashing her cutest poses. Butterhead can keep herself entertained for hours with a turntable ball toy and plush toys. Don’t mind if Butterhead joins you on a Netflix binge — she particularly enjoys watching football and nature documentaries. Mesclun is a bit more on the mellow side, but that doesn’t stop her sweet personality from shining. She is very curious, so she can typically be found in a box or paperbag that you have lying around. Her favorite activity is chasing a laser toy around the home and finding the best cuddle spots.",2023-02-27 22:49:46+00:00,False,False,True,False,False,False,False,False,False,False,False,True,True,row_modified
18956052,https://catcafebk.com/our-cats/?cat=18956052,Cassave & Baby Corn,"4 Months 0 Days "," Male",False,True,True,False,True,False,"Domestic Short Hair ","Cassava and Baby Corn are a delight to have around — they are playful, curious and cuddly. Baby Corn is the adventurer. He loves teasing other animals (cats or dogs), even when they are not too fond of him. It doesn't take much to get him purring — just a simple touch or sitting next to him will get his motor roaring. He adores belly rubs and will throw himself on the floor and give you his belly. Cassava is a bit shyer, but loves attention on his own terms. He enjoys cuddling during bedtime and sleeping close to his person and getting gentle pet. He is a loyal friend who will defend his person and home from dangerous vegetables — beware onions and potatoes! These bonded bffs are good with cats, dogs and children.",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=18956052,Cassava & Baby Corn,"5 Months 5 Days "," Male",False,True,True,False,True,False,"Domestic Short Hair ","Cassava and Baby Corn are a delight to have around — they are playful, curious and cuddly. Baby Corn is the adventurer. He loves teasing other animals (cats or dogs), even when they are not too fond of him. It doesn't take much to get him purring — just a simple touch or sitting next to him will get his motor roaring. He adores belly rubs and will throw himself on the floor and give you his belly. Cassava is a bit shyer, but loves attention on his own terms. He enjoys cuddling during bedtime and sleeping close to his person and getting gentle pet. He is a loyal friend who will defend his person and home from dangerous vegetables — beware onions and potatoes! These bonded bffs are good with cats, dogs and children.",2023-02-27 22:49:46+00:00,False,True,True,False,False,False,False,False,False,False,False,False,True,row_modified
17575802,https://catcafebk.com/our-cats/?cat=17575802,Castle,"7 Years 6 Months "," Female",False,True,False,True,False,True,"Domestic Short Hair ","Castle is the sweetest friend to have around the house. She might be a little slow to warm up to you at first, but once you have won her loyalty, this tabby won’t be afraid to follow you around, nudge, and nuzzle you. She will greet you at the door when you come home each day and will meow when she’s hungry or when she wants you to wake up and give her attention. She goes absolutely crazy for chicken treats and will climb onto your lap for one. Castle is independent, explorative, and confident, and a sweet household companion who takes great interest in all that her humans do. She does have some kidney issues, which are currently stable but requires a special food – which, luckily, she loves. Castle would make a great pet for any family. She is very low maintenance and mostly likes to lay in a soft bed and explore when it’s quiet, but she’s even happier when rubbing against her humans and being pet. Castle is in need of an echocardiogram and dental surgery, but we'd be happy to partner with her adopters to ensure that this lady gets the treatment that she needs to be happy and healthy.",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=17575802,Castle,"7 Years 8 Months "," Female",False,True,False,True,False,True,"Domestic Short Hair ","Castle is the sweetest friend to have around the house. She might be a little slow to warm up to you at first, but once you have won her loyalty, this tabby won’t be afraid to follow you around, nudge, and nuzzle you. She will greet you at the door when you come home each day and will meow when she’s hungry or when she wants you to wake up and give her attention. She goes absolutely crazy for chicken treats and will climb onto your lap for one. Castle is independent, explorative, and confident, and a sweet household companion who takes great interest in all that her humans do. She does have some kidney issues, which are currently stable but requires a special food – which, luckily, she loves. Castle would make a great pet for any family. She is very low maintenance and mostly likes to lay in a soft bed and explore when it’s quiet, but she’s even happier when rubbing against her humans and being pet. Castle is in need of an echocardiogram and dental surgery, but we'd be happy to partner with her adopters to ensure that this lady gets the treatment that she needs to be happy and healthy.",2023-02-27 22:49:46+00:00,False,False,True,False,False,False,False,False,False,False,False,False,True,row_modified
18109870,https://catcafebk.com/our-cats/?cat=18109870,Connie,"1 Year 7 Months "," Female",True,False,False,True,False,True,"Domestic Short Hair ","Connie is a total love bug which makes it almost impossible to snap a photo of her as she is constantly coming for head butts and cuddles! She can be a little reserved at first, hiding in the bathroom or finding a spot underneath the bed, but after a few weeks, she will follow you around and demand lots of pats and cuddles. She loves to watch TV with humans and even loves watching ice hockey (for whatever reason she will be glued to the TV and it’s rather funny- we think she’s a Rangers fan!) She enjoys playing with the cat wand and is NUTS for catnip. Overall, she’s very sweet and just wants to hang with the humans! Her little meow when she wants pats is the cutest thing ever. She does occasionally scratch at furniture but is adjusting to the cat post more. She's incredibly playful and if she doesn't have a feline friend, she'll need lots of human interaction.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
18666870,https://catcafebk.com/our-cats/?cat=18666870,Corso,"1 Year 5 Months "," Male",False,True,True,False,False,False,"Domestic Short Hair ","Corso will be a sweet little addition to a patient household. Rescued from a Staten Island hoarding situation, he’s shy and wary at first but has warmed up immensely to become a funny little lovebug! He spends a lot of the day napping and lazing but will come out to socialize whenever you call for him, and likes to be underfoot wherever you are just so you know he’s there. Lately he’s been a fan of perching on top of the kitchen cabinets so he gets a good view of all the action. Corso loves bare feet and will rub his face on your toes! Scritches are very much welcomed as well, especially on the head and under the chin. Corso is a happy eater and litter box pro. While he’s not quite ready to crawl into your lap on his own, he’s open to being picked up and cuddled so maybe he’s close! He’s curious about windows and will try to climb them to check out the views. Corso likes playing with his catnip mice and sushi toys around the house, and loves batting at his wand toy, especially in the evening.",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=18666870,Corso,"1 Year 7 Months "," Male",False,True,True,False,False,False,"Domestic Short Hair ","Corso will be a sweet little addition to a patient household. Rescued from a Staten Island hoarding situation, he’s shy and wary at first but has warmed up immensely to become a funny little lovebug! He spends a lot of the day napping and lazing but will come out to socialize whenever you call for him, and likes to be underfoot wherever you are just so you know he’s there. Lately he’s been a fan of perching on top of the kitchen cabinets so he gets a good view of all the action. Corso loves bare feet and will rub his face on your toes! Scritches are very much welcomed as well, especially on the head and under the chin. Corso is a happy eater and litter box pro. While he’s not quite ready to crawl into your lap on his own, he’s open to being picked up and cuddled so maybe he’s close! He’s curious about windows and will try to climb them to check out the views. Corso likes playing with his catnip mice and sushi toys around the house, and loves batting at his wand toy, especially in the evening.",2023-02-27 22:49:46+00:00,False,False,True,False,False,False,False,False,False,False,False,False,True,row_modified
18667434,https://catcafebk.com/our-cats/?cat=18667434,Cowboy,"5 Years 4 Months "," Male",False,False,False,True,False,True,"Domestic Short Hair ","Cowboy is a very classy modern gentleman who enjoys pets only after giving clear consent. He was found abandoned in a carrier on a busy street in Brooklyn. Understandably, he took some time to get settled, but is now a charming, cheeky fellow.  Although not much of a lapcat, he likes to keep tabs on his foster while they work from home and is sometimes very chatty with his kitty babbling. His favorite pastimes include chasing after a tennis ball, enjoying churu fresh from the tube, and lounging around the house. Just give him a chance and Cowboy will be a delightful companion to the right home. Plus, as a polydactyl cat, he's got some adorable thumbs. He's cautiously beginning to accept pets and sometimes even appreciates being carried. We don't think he likes other animals and would not be suitable for a home with children.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
18928108,https://catcafebk.com/our-cats/?cat=18928108,"Crest, Colgate & Oral B","5 Months 21 Days ",,False,True,True,False,True,False,"Domestic Short Hair ","Crest, Colgate, and Oral B are playful, full of energy and always wrestling and chasing each other. They’re extremely affectionate and will start purring as soon as they catch sight of you and they are obsessed with cuddling. Crest (grey with white belly and feet) is very curious and the adventurer of the bunch. She is the most cuddly and loves to steal all of the attention to get all of the pets. Colgate (brown tabby) is spunky and makes the cutest little expressions. Colgate loves playing with his sisters and could chase a toy on a string for hours. Oral B (grey with spots) has giant yellow/green eyes that will melt your heart. These kittens would love to be adopted as a trio. They have a sibling that tested positive for FeLV so can’t be adopted into a home with other cats until they can get retested when they are older. We’d be happy to talk more about this if you have any questions.",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=18928108,"Crest, Colgate & Oral B","6 Months 26 Days ",,False,True,True,False,True,False,"Domestic Short Hair ","Crest, Colgate, and Oral B are playful, full of energy and always wrestling and chasing each other. They’re extremely affectionate and will start purring as soon as they catch sight of you and they are obsessed with cuddling. Crest (grey with white belly and feet) is very curious and the adventurer of the bunch. She is the most cuddly and loves to steal all of the attention to get all of the pets. Colgate (brown tabby) is spunky and makes the cutest little expressions. Colgate loves playing with his sisters and could chase a toy on a string for hours. Oral B (grey with spots) has giant yellow/green eyes that will melt your heart. These kittens would love to be adopted as a trio. They have a sibling that tested positive for FeLV so can’t be adopted into a home with other cats until they can get retested when they are older. We’d be happy to talk more about this if you have any questions.",2023-02-27 22:49:46+00:00,False,False,True,False,False,False,False,False,False,False,False,False,True,row_modified
18166753,https://catcafebk.com/our-cats/?cat=18166753,Cut & Copy,"9 Months 6 Days "," Female",False,True,True,False,True,False,"Domestic Short Hair ","Cut and Copy are two extremely playful sisters! They’re full of energy and love to play — whether with each other, toys, or your foot under a blanket. They enjoy running around chasing each other with toys in their mouths and climbing and jumping around on the cat tree. They’re easily entranced by anything that moves be it a wand toy or your hair. These sisters also really love each other. You’ll find them snuggled up together and making biscuits on each other. They’re great with the resident cats, constantly coming up to their resident brother and rubbing against him until he gives them licks. Copy can be quite vocal when she wants attention and will let you know when she wants pets — you’ll quickly learn the range of chitters and polite meows she uses. She’s the alpha of the two and will climb up to you to insist you give her more affection. If you try to stop petting her she’ll nuzzle into your legs and let you know you’re not done! She’ll reward you for your pets with purrs and the occasional flop on her back for belly rubs! Cut is still learning to trust humans and will avoid being picked up, but once you have her in your arms and are petting her she will easily doze off. She also accepts love in the form of Churu cat treats! She’s incredibly playful and is more likely to be found running around with a mouse toy in her mouth than her sister. With some consistent love and affection she’ll learn that cuddles are also nice!",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
18436240,https://catcafebk.com/our-cats/?cat=18436240,Cuttlefish & Grace,"7 Months 26 Days ",,False,True,True,False,True,False,"Domestic Short Hair ","Grace is the sweetest in all of the land. She’s very gentle and loves to be held for cuddles and an afternoon siesta. A little bashful at first but is no doubt going to be a very loving companion that enjoys a nice cat (lap) nap after a round of play. You’ll find her cleaning up her siblings BFF Cuttlefish, making sure everyone is in tip-top shape to take charge of the day ahead. Cuttlefish has the most heart-warming, endearing round eyes. He’s still a bit unsure of us humans but is warming up a little bit more each day. You’ll find him first in line for breakfast and Churu. This cutie is now comfortable coming up into your lap so long as Churu is on the menu. This is when you can sneak a few quick pets in – soon enough he’ll be onboard for endless cuddles. He’s the athlete of the family and loves to play with a string toy or kick a ball around (do we have our next international futbol star?!).",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,False,True,True,True,True,True,True,True,True,True,row_deleted
18576182,https://catcafebk.com/our-cats/?cat=18576182,Daniel Tiger,"4 Years 9 Months "," Male",False,True,False,False,False,False,"Domestic Short Hair ","Don’t be fooled by the semi-grumpy face – it is hard to take a good picture of Daniel Tiger because he prefers to snuggle as close as he possibly can! Daniel Tiger is a beautiful, chunky, pet-loving cat with a very loud, deep purr.  He recently became an indoor cat and is adjusting so well – his litter box habits are impeccable, he loves pets, and he is very sweet.  His hobbies include snuggling with stuffed animals, getting many pets and chin-scratches, and snoozing.  He has learned that he loves toys and especially loves the cat dancer.  We would guess that he would be a solid mouser, should that skill be necessary.  Daniel recently sat on his first lap, and likes to sit very close to whoever is petting him. He seems to like other cats and would be happy with a friend (although the resident cats in his foster home do not return the sentiment). He is a very special guy! Daniel is in need of dental surgery and we are hoping his adopters can help cover the cost – we’re happy to talk more about this!",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=18576182,Daniel Tiger,"4 Years 10 Months "," Male",False,True,False,False,False,False,"Domestic Short Hair ","Don’t be fooled by the semi-grumpy face – it is hard to take a good picture of Daniel Tiger because he prefers to snuggle as close as he possibly can! Daniel Tiger is a beautiful, chunky, pet-loving cat with a very loud, deep purr.  He recently became an indoor cat and is adjusting so well – his litter box habits are impeccable, he loves pets, and he is very sweet.  His hobbies include snuggling with stuffed animals, getting many pets and chin-scratches, and snoozing.  He has learned that he loves toys and especially loves the cat dancer.  We would guess that he would be a solid mouser, should that skill be necessary.  Daniel recently sat on his first lap, and likes to sit very close to whoever is petting him. He seems to like other cats and would be happy with a friend (although the resident cats in his foster home do not return the sentiment). He is a very special guy! Daniel is in need of dental surgery and we are hoping his adopters can help cover the cost – we’re happy to talk more about this!",2023-02-27 22:49:46+00:00,False,False,True,False,False,False,False,False,False,False,False,False,True,row_modified
18739021,https://catcafebk.com/our-cats/?cat=18739021,DigDug & PingPong,"6 Months 4 Days "," Male",True,True,True,False,True,False,"Domestic Short Hair ","DigDug and PingPong are curious, playful and gentle brothers. Rescued from a dangerous construction site, they transitioned seamlessly to indoor life, loving all the attention, food and play they can get! DigDug is the muscle, PingPong is the brains and together they will make a perfect addition to any home.",2023-01-22 19:13:48+00:00,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,row_deleted
17759824,https://catcafebk.com/our-cats/?cat=17759824,Dolly & Lulu,"13 Years 9 Months "," Female",False,True,False,False,True,False,"Domestic Short Hair (short coat) ","Dolly and Lulu are bonded 13-year-old sister lap cats who are affectionate and loving. Lulu is the black cat and Dolly is the white cat with black spots. They cuddle together like yin and yang. They are also very much enjoy human company and warm people laps. Even though they are 13 years old, they still love to play with feathers, lasers and balls. Lulu was born to be a lap kitty. Whomever is lucky enough to have Lulu in their lap, will be rewarded with a look of complete adoration and a warm purr. Lulu loves affection, she loves company and she loves chilling out with her sister Dolly. She is a true lover. Dolly has an intrepid, brave spirit while still being very affectionate. She very rarely cries and asks for very little (other than some delicious wet food). She is very intuitive and often knows when you are feeling stressed or down in which case she will come hop on your lap.She still loves to play feather games and has caught more laser beams than any other cat on the block. Their current owner rescued them outdoors as kittens but a parent who is allergic to cats is moving in with the family and she can no longer keep them. Lulu is missing her right front paw, but it has caused her no trouble at all. Dolly and Lulu are spayed and up to date on vaccines. Both cats will need some extra medical care. Lulu needs dental work. Dolly could likely use dental work as well and might do well to take a joint supplement. Interested adopters can discuss with their current owner any costs for their care. *Courtesy Posting: This cat is being independently offered for adoption by a rescuer who is not a representative of BBAWC or Brooklyn Cat Cafe. The rescuer offering this cat is responsible for the content of this post and any medical records and vaccines. BBAWC and Brooklyn Cat Cafe cannot vouch for any information in this post. An adoption fee will be charged by the rescuer.",2023-01-22 19:13:48+00:00,https://catcafebk.com/our-cats/?cat=17759824,Dolly & Lulu,"13 Years 10 Months "," Female",False,True,False,False,True,False,"Domestic Short Hair (short coat) ","Dolly and Lulu are bonded 13-year-old sister lap cats who are affectionate and loving. Lulu is the black cat and Dolly is the white cat with black spots. They cuddle together like yin and yang. They are also very much enjoy human company and warm people laps. Even though they are 13 years old, they still love to play with feathers, lasers and balls. Lulu was born to be a lap kitty. Whomever is lucky enough to have Lulu in their lap, will be rewarded with a look of complete adoration and a warm purr. Lulu loves affection, she loves company and she loves chilling out with her sister Dolly. She is a true lover. Dolly has an intrepid, brave spirit while still being very affectionate. She very rarely cries and asks for very little (other than some delicious wet food). She is very intuitive and often knows when you are feeling stressed or down in which case she will come hop on your lap.She still loves to play feather games and has caught more laser beams than any other cat on the block. Their current owner rescued them outdoors as kittens but a parent who is allergic to cats is moving in with the family and she can no longer keep them. Lulu is missing her right front paw, but it has caused her no trouble at all. Dolly and Lulu are spayed and up to date on vaccines. Both cats will need some extra medical care. Lulu needs dental work. Dolly could likely use dental work as well and might do well to take a joint supplement. Interested adopters can discuss with their current owner any costs for their care. *Courtesy Posting: This cat is being independently offered for adoption by a rescuer who is not a representative of BBAWC or Brooklyn Cat Cafe. The rescuer offering this cat is responsible for the content of this post and any medical records and vaccines. BBAWC and Brooklyn Cat Cafe cannot vouch for any information in this post. An adoption fee will be charged by the rescuer.",2023-02-27 22:49:46+00:00,False,False,True,False,False,False,False,False,False,False,False,False,True,row_modified
