cat_id,url,cat_name,age,gender,cafe_cat,kid_approved,dog_approved,companion_cat,bonded_pair,single_cat,type,description,system_import_at
19384005,https://catcafebk.com/our-cats/?cat=19384005,Bebe,3 Years 8 Months , Female,False,False,False,True,False,True,Domestic Short Hair ,"Bebe is a shy, gentle girl who, deep down, loves head scratches and squeezy treats even though she tries her best to hide it. She will definitely need some time and lots of pep talks to help her feel safe and comfortable, though she might momentarily forget and stretch out belly side up if you’re giving her a good brushing. She is small, plump, and has round, expressive eyes, which will make her look like a kitten forever! She is extremely gentle even when stuck in scary situations (like being put in the carrier or meeting new people) - she won’t use her claws on anything other than making biscuits and her teeth for anything other than eating crunchy treats. That being said, she will likely need to stay in a quiet home with no other pets. It will be so rewarding to watch her grow into the confident and loving cat she is!",2023-07-08 17:41:14+00:00
19316818,https://catcafebk.com/our-cats/?cat=19316818,Bellafonte,2 Years 1 Month , Male,True,True,False,True,False,True,Domestic Short Hair ,,2023-07-08 17:41:14+00:00
18989746,https://catcafebk.com/our-cats/?cat=18989746,Brillo,3 Years 5 Months , Male,False,False,True,False,False,False,Domestic Short Hair ,"Brillo is a big, beautiful boy whose award-winning personality will make a most welcome addition to your home. This chill dude will cuddle on your chest or lap when you’re hanging out and greet you in the morning on the other side of your pillow. He LOVES to play — whether with a toy mouse or wand, or giving chase to another cat — he even tolerates dogs! Brillo can show the rough side of his playfulness by being a bit bitey so he needs a home with another active feline friends and humans to help him practice good behavior — no kids, please!",2023-07-08 17:41:14+00:00
19426352,https://catcafebk.com/our-cats/?cat=19426352,Bumbershoot,5 Years 4 Months , Male,False,False,False,False,False,False,Domestic Short Hair ,"Bumbershoot is an adorable little orange and white guy worthy of all your love and devotion. While he may take some time to warm up to all the pets you want to give him, Bumbershoot will win you over by ever so gently licking Churu off of your finger. It doesn’t take much to get Bumbershoot purring, as a simple head scratch after his dinner ought to do the trick. Bumbershoot is the most gentle boy with giant golden eyes that will melt your heart. He is quiet and well-behaved, and would likely thrive in a calm, peaceful home. Your patience is sure to pay off quickly in exchange for Bumbershoot’s precious love and affection! This cat has been diagnosed with a heart murmur and would benefit from an echocardiogram -- we would appreciate it if their potential adopter could help us cover this cost in lieu of an adoption donation.",2023-07-08 17:41:14+00:00
18578528,https://catcafebk.com/our-cats/?cat=18578528,Butterhead & Mesclun,1 Year 2 Months , Female,False,True,True,False,True,False,Domestic Short Hair ,"Mesclun and Butterhead are two active sisters who love to wrestle and zoom around the home. After play time, you can catch them snuggling up for a nap in the sun. Butterhead (black & white) will happily greet you at the door after a long day of work. She’ll then bribe you for scritches by stretching out on the floor and flashing her cutest poses. Butterhead can keep herself entertained for hours with a turntable ball toy and plush toys. Don’t mind if Butterhead joins you on a Netflix binge — she particularly enjoys watching football and nature documentaries. Mesclun is a bit more on the mellow side, but that doesn’t stop her sweet personality from shining. She is very curious, so she can typically be found in a box or paperbag that you have lying around. Her favorite activity is chasing a laser toy around the home and finding the best cuddle spots.",2023-07-08 17:41:14+00:00
19130146,https://catcafebk.com/our-cats/?cat=19130146,Carlton,3 Years 5 Months , Male,False,True,False,True,False,True,Domestic Short Hair ,"Carlton loves affection, catnip and people. This chatty guy will make it known when he wants attention! He is generally pretty relaxed, but he does love to play — especially with a wand toy. He is good with children and meeting new people and would be happy in a home with multiple humans to give him scritches and snuggles.",2023-07-08 17:41:14+00:00
19475403,https://catcafebk.com/our-cats/?cat=19475403,Carton & Parcel,1 Year 5 Months , Female,True,False,False,False,True,False,Domestic Short Hair ,"Carton and Parcel are two beautiful and playful cats. They were found in a taped-up box full of kittens left outside Brooklyn Cat Café a few months ago. Since then, they’d come a long way in learning to love and trust humans. Parcel is an orange and gray cat who’s very social and loves to cuddle. She can be a bit shy at first and tends to hide from strangers, but once she’s comfortable, she’ll follow you around the house, loudly demanding attention and pets. She’ll even jump into your lap while you’re working from home and crawl into bed with you to cuddle. Carton is the pure gray one and definitely takes more time to come around to people, but can also be so affectionate once she does. She’s a little more reserved than Parcel but still loves sitting next to her preferred human and having her fur stroked – not so much being picked up and carried. Parcel loves playing with other cats, and they are both good with friendly dogs that won’t chase them. They may not do as well with pushier dogs or young children.",2023-07-08 17:41:14+00:00
19130092,https://catcafebk.com/our-cats/?cat=19130092,Casey Stengel,4 Years 3 Months , Male,False,False,False,True,False,True,Domestic Short Hair ,"Casey Stengel is the sweetest young cat rescued from the streets of East Flatbush. He loves headbutts almost as much as he loves treats. He is big on playtime and sometimes gets so riled up that he’ll take a swat or bite at an arm or leg, which he is working on with his foster, but will need some help from you, too. He is often happy to chase certain toys (or even his tail) on his own when he gets the zoomies, and occasionally he even requests to play fetch. Casey doesn’t mind water and has been known to splash around the bathroom sink or even the shower. He loves people and may get along with children and with other cats or a dog. When he doesn’t have the zoomies, Casey loves to chill out, and can often be seen lounging contentedly with his spotted belly on display.",2023-07-08 17:41:14+00:00
19118387,https://catcafebk.com/our-cats/?cat=19118387,Coco,1 Year 8 Months , Male,True,False,False,False,False,False,Domestic Short Hair ,"Coco is a friend to every cat he meets. This youngish fellow (we think between 1-2 years old) is completely blind, but so is love! All Coco wants is a cat (or several) to curl up with and a patient human to give head scritches. Coco needs a quiet home with at least one cat who is in need of a snuggle partner. He is also obsessed with fish and does amazing head bobs when trying to locate any last morsel. Coco was brought in as part of a TNR project and we realized that he wasn't a good candidate to return due to sight and neurological issues (he’s a bit wobbly) — it must have been so hard for him to survive outside!",2023-07-08 17:41:14+00:00
19072619,https://catcafebk.com/our-cats/?cat=19072619,Cookie & Cleo,1 Year 9 Months , Female,False,False,False,False,True,False,Domestic Short Hair ,"Cookie and Cleo are playful and bonded sisters. Cleo loves to chase flies and feathers. Cookie love to play, she will throw around the space piece of dry food and jump on it to eat it as if it was a prey. They both absolutely love to watch outside the window, Cookie prefers to roll on her back so you can scratch her belly. They prefer to be pet on the ground and not picked up and are great with kids.",2023-07-08 17:41:14+00:00
19153026,https://catcafebk.com/our-cats/?cat=19153026,Corsair,2 Years 4 Months , Male,False,False,False,True,False,True,Domestic Short Hair ,"Meet Corsair, a handsome male tabby cat with striking markings and a personality to match! This lovable feline is looking for his forever home where he can shower his new family with love, affection, and plenty of purrs. Corsair is an absolute people pleaser who adores spending time with his human companions. Whether it's cuddling up on the couch for a Netflix marathon or following you around the house for some quality one-on-one time, Corsair is always up for some fun and affection. One of Corsair's favorite things in the world is treats! He loves them so much that he will even do some tricks for them if you ask nicely and do a little training. And if you're looking for a feline that loves to be held, Corsair is your guy. He enjoys being cradled like a baby and will purr contentedly while you give him a good snuggle. Despite his affectionate nature, Corsair is also quite independent and loves to explore his surroundings. He's a curious cat who enjoys playing with toys and climbing on things, so make sure to have plenty of scratching posts and cat trees around for him to explore. If you're looking for a loving, playful, and affectionate feline companion who will be your loyal companion for life, then Corsair is the cat for you! Adopt him today and see for yourself why he's the perfect addition to any family.",2023-07-08 17:41:14+00:00
19426359,https://catcafebk.com/our-cats/?cat=19426359,Dandelion & Marshmallow,9 Months 4 Days ,,False,False,False,False,True,False,Domestic Short Hair ,"Dandelion (M) and Marshmallow (F) are two very sweet and fun, yet cautious older kittens. They love to play and get along with other cats. Dandelion will purr and let you pet and brush his luxurious mane. We predict he will be a fabulous “lap” cat soon enough. Marshmallow is more playful, but people shy, and enjoys running around playing with her brother and other cats. She likes the  cat scratcher more than getting pet by people. They are long hair cats and are very friendly, they don't usually hiss unless they are still getting to know you and you move very fast near them, they are calm cats and don't meow much.Some of their favorite toys include feather toys and a cat dancer, Marshmallow is not the biggest fan of treats but Dandelion will eat them for her. They have been moved around quite a few times and they are definitely ready to settle in their forever home.",2023-07-08 17:41:14+00:00
18259464,https://catcafebk.com/our-cats/?cat=18259464,Dipsy & Tinky Winky,1 Year 4 Months ,,False,True,True,False,True,False,Domestic Short Hair ,"Dipsy and Pinky Winky are playful balls of energy! They will have you laughing at their antics and will definitely make their presence felt in your home. They love to play, pounce and wrestle and are fed of toys, boxes and any small object they can bat around. Dipsy (black and white boy) is the braver, more inquisitive and more confident of the pair. He loves snuggles (and is happy as the big or little spoon) and regularly seeks out affection. He trills to get your attention and frequently asks for pets, following you from room to room. Tinky Winky (tabby girl) is the shyer of the pair and likes her space. She prefers to interact on her own terms, and while not fond of pets, she does enjoy interacting with feet through the bed covers. They both love food and are wild about Churus — Dipsy, in particular, can sniff out a freshly opened packed from the other side of the apartment and will rush to get some into his belly immediately! Tinky Winky loves Churus too, although she is a lady with manners and is more reserved about asking for it. These sweet young cats are looking for adopters who will give them the time and patience to feel comfortable and the confidence to open up in their own way.",2023-07-08 17:41:14+00:00
19014938,https://catcafebk.com/our-cats/?cat=19014938,Dumont Tiger,3 Years 11 Months , Male,False,False,False,True,False,True,Domestic Short Hair ,"This handsome, ginger boy, with magically floofy ears, is as energetic and curious as he is sweet. Dumont loves attention of any kind and seeks it out constantly - to the chagrin of his foster, sometimes a little too early in the morning. He is forgiven quickly when he begins to purr like a motorcycle or starts his entertaining antics - one second he's sitting in a loaf position, and in another his ears will charge up and he's running, attacking something imaginary (or sometimes a chair). This boy is enthusiastic about all things food and is not at all shy about letting you know how he feels so be prepared for his quick sprint when he gets an inkling that it is mealtime. Dumont is a joy to return home to - greeting you with headbutts and following you around in order to be close by, all the while singing his sweet signature purr. Because Dumont has FeLV, he can only be around other FeLV cats, but he is visibly healthy with no outward signs of FeLV. He will have the best chance at living many more years in a caring home with a proper diet.",2023-07-08 17:41:14+00:00
19335096,https://catcafebk.com/our-cats/?cat=19335096,Earthquake & Wildfire,9 Months 6 Days ,,False,False,False,False,True,False,Domestic Short Hair ,"This sweet brother and sister duo liven up the house with their playful antics and their energy. Though they have different – but strong – personalities, this bonded pair does EVERYTHING together. From sharing food, toys, hiding spots, naps, treats (oh how they love Churu treats), and cuddles, these two are inseparable, and their love for each other cannot be denied. Earthquake (brown DSH with spots) is fearless and loves to mosey on over throughout the day to say hello to you or cuddle. He is full of playful energy and is always looking for a good time. His sister Wildfire (white/black DSH) trusts her brother and is always one step behind him joining in on the fun. Wildfire takes her time warming up to you, but it is a beautiful feeling when she starts to trust and says hello to you (in her own Wildfire way of course). She loves to investigate new corners of the house and most importantly, she loves her brother. Earthquake understands his sister and worries and calls out for her if he cannot find his partner in crime. Similarly, Wildfire gains her confidence and thirst for adventure from her brother who is always close by with a toy for them to share. These two kittens are the epitome of love and loyalty between siblings, and they compliment each other’s personality so well. Best way to discover their personalities? Throw a toy in the air and watch both of them lunge at it! You can tell immediately which of the two is adventurous and which one is the ‘genius hunter’ in the family. Regardless of their different approaches to life and affection, there is no denying that these two will keep your house and heart full of joy and laughter.",2023-07-08 17:41:14+00:00
18990417,https://catcafebk.com/our-cats/?cat=18990417,Elmo,1 Year 2 Months , Male,True,True,True,False,False,False,Domestic Short Hair ,"Elmo is a gentle, playful boy just waiting to blossom! He never tires of chasing wand toys and ball toys, sometimes launching himself onto the scratching post in hot pursuit. Elmo has not met a toy he doesn’t like! When he’s feeling safe around you, he loves scritches and turns into an absolute purring machine. He is currently afraid of strangers and sudden actions, and needs to be in a patient home where his boundaries are respected. He will also thrive in a home where he gets a lot of active play time. With the right support, Elmo warms up quickly and wants to follow you around, protect you while you’re using the toilet, and help you with your chores by chasing the Swiffer. He also has the cutest little chirps.",2023-07-08 17:41:14+00:00
19180805,https://catcafebk.com/our-cats/?cat=19180805,Extra Cuddles,10 Years 2 Months , Female,True,False,False,True,False,True,Domestic Short Hair ,"Extra Cuddles is a whole lot of cat with even more personality! This hefty lady (currently 19 pounds) takes a little while to warm up to you and feel safe in her surroundings, but your patience will be rewarded once she comes out of her shell. In her time with her foster so far, Extra Cuddles has revealed herself to be a hilariously charming girl with strong opinions and a healthy amount of sass. She is also secretly a huge sweetheart with a love of ear scratches, but you have to get past her “tough” side first. Her extra weight hasn’t stunted her curiosity, as she’ll spend most of her waking hours exploring her new digs (she is adamant about someday being able to climb into the bathtub). As long as she continues to slowly and steadily shed those pounds with a 100% wet food diet, her new owner will be responsible for drastically improving her quality of life. Think about how rewarding it will be to see E.C. regain mobility and be able to jump and climb around to her heart’s content! Extra Cuddles has a lot of strict preferences on how she likes to be pet and handled by her caretakers; She’s very easy to read! For the most part, she’ll come to you when she’s looking for affection and head-bonks and she’ll leave when she’s ready to be left alone. Sometimes she can get a bit over-stimulated with back scratches or brushing which leads to growling and (extremely halfhearted) hissing, so she would likely do best in a home with no other cats or young children to test her boundaries.",2023-07-08 17:41:14+00:00
18844861,https://catcafebk.com/our-cats/?cat=18844861,Fennel & Stowaway,9 Months 7 Days , Male,False,True,True,False,True,False,Domestic Short Hair ,"Meet Fennel and Stowaway, the dynamic duo of cuteness and love! This sweet pair are looking for a forever home where they can snuggle, play, and be loved unconditionally. Fennel (white and grey), the cuddle bug of the pair, is a lap cat who loves nothing more than to snuggle up with his human friends and keep you company while you work from home. He's gentle, affectionate, and always eager to please. On the other hand, Stowaway is a curious tabby who loves to explore her surroundings and find new adventures. She's playful, energetic, and always ready for some fun. Despite their different personalities, Fennel and Stowaway share a deep love for people and are the ultimate purr machines. Once they get to know you, they'll melt into your arms and make you feel loved and appreciated. Whether you're looking for a companion to snuggle up with on a rainy day or a playmate to keep you entertained, these two kittens are the perfect fit.",2023-07-08 17:41:14+00:00
19283683,https://catcafebk.com/our-cats/?cat=19283683,Filo Dough,4 Years 2 Months , Male,False,False,False,True,False,True,Domestic Short Hair ,"Filo Dough is an enormous, snuggle-loving chonky giant loaf of love. He is quick to make himself comfortable and was purring and asking for pets within minutes of getting to his foster home. He likes to sleep in bed (and steal the pillows), pounce on catnip toys, and get ALL of the pets from ALL of the people. He is happy to just relax quietly during the day, but will excitedly greet you with chirps when you get home. Good with children, total strangers, and unclear about other animals (he seems scared of the resident cat).",2023-07-08 17:41:14+00:00
19061630,https://catcafebk.com/our-cats/?cat=19061630,Finn,11 Years 4 Months , Male,False,False,False,True,False,True,Domestic Short Hair ,"Finn is a sweet, curious, and independent who adpres being pet – even his belly! He gets chatty when he knows it’s feeding time and will sometimes meow just for the heck of it – lots of fun “meowing” back and forth with his human. He’s been steadily warming up to his foster’s two roommates. Finn is a great work from home buddy, always respectful of the need for space and quiet. He likes his own space and can nap for hours, so if you live a busy life, you won’t need to worry about keeping him entertained or out of trouble. When beckoned, though, he always comes out ready to play. If you’re looking for an affectionate, self-reliant, mature companion, Finn is the guy for you. Finn is an older guy with some medical needs including an echocardiogram and dental surgery. We are happy to talk more about these entail and find ways to partner with his adopter to ensure he gets the care that he needs.",2023-07-08 17:41:14+00:00
19471536,https://catcafebk.com/our-cats/?cat=19471536,Folie & Lozenge,3 Months 7 Days , Male,False,False,False,False,True,False,Domestic Short Hair ,"Folie and Lozenge are an insanely cute kitten pair. Though they aren't from the same litter, these step brothers are best friends. Lozenge is an orange boy and is the most adorable, kind and gentle kitten you’ll ever meet! He is shy at first but once he trusts you, he will become your shadow. He also loves to give his foster's dog side hugs ever now and then which will just make your heart melt! Folie is the absolute cutest and is such a cuddly kitten! His favorite thing to do is explore and play spontaneous games of tag with his brother. Once he’s done, he loves to find comfy posts and chairs to curl up in. Both kittens are very sweet and good with kids and other animals. They would do well in a home that's ready to give them so much love and attention.",2023-07-08 17:41:14+00:00
17850952,https://catcafebk.com/our-cats/?cat=17850952,Funyun & Zapps,1 Year 9 Months , Female,False,False,False,False,True,False,Domestic Short Hair ,"Funyun and Zappa are ridiculously rambunctious sisters. Funyun is obsessed with treats and loves the smell of chicken. She enjoys a wand toy as well as her special stuffed penguin toy and will play catch with herself – she’ll throw the toy in the air and then run after it! Zapps can be more timid at first, but once comfortable, she’ll be making biscuits on a cozy poof/pillow and running from end to end of the apartment. She’s learned to enjoy pets and has the sweetest mews. She loves to sit in the window and eventually at the end of your bed to warm your feet! She’s obsessed with any flavor of Churru, laser toys and felt mice.",2023-07-08 17:41:14+00:00
19180845,https://catcafebk.com/our-cats/?cat=19180845,Fusion & Soot,7 Months 15 Days ,,False,False,False,False,True,False,Domestic Short Hair ,"Fusion and Soot spend hours together wrestling and doing laps with one another, which provides for the best and cutest entertainment. Their main shared hobbies are birdwatching, catching treats you throw to them and chasing a cat laser. Fusion (gray and white tabby) is very curious and eager to follow you around. He is still learning to trust humans, but if you have anything tasty, you pass the test. Soot (white with gray markings) will give you a purr and a flop for head and chin stitches. She is an adventure climber and will find her way to the top of your closet and cabinets. Fusion will join you at bedtime to chase your toes and sleep at the bottom of your bed. Soot will curl up right in your arms — and share a pillow.",2023-07-08 17:41:14+00:00
19101903,https://catcafebk.com/our-cats/?cat=19101903,Gingerbread & Spooky,11 Months 25 Days ,,False,True,True,False,True,False,Domestic Short Hair ,"Gingerbread was fiery and hissy at first, but she quickly adapted to most of indoor life but she still needs a little patience and understanding. She loves to sit on the AC and explore the outside world or sleep in a corner next to the radiator. She enjoys scratches behind the ear and playing with her bff Spooky! She is a bit indifferent towards snacks and food, but is willing to eat from your hand. Be prepared for this spicy sweet combination! Spooky is a playful and curious social kitten who enjoys great snuggle time with her chosen human. She can still be a little shy if one of us big humans enter the room but she will soon be back out in the open looking for something to play with. She enjoys receiving scratches on the head and relaxing in a patch of sun. Give her a treat or two and she will nibble on your fingers!",2023-07-08 17:41:14+00:00
19430108,https://catcafebk.com/our-cats/?cat=19430108,Goody 2 Shoes,10 Months 9 Days , Male,True,True,True,False,False,False,Domestic Short Hair ,"Goody 2 Shoes is basic — in the best way. This super sweet, fluffy cat is purrfect for someone looking for a buddy to hang around with and watch TV. He adores brushing and scritches and will gladly roll over for you and make air biscuits — sometimes even falling asleep with his paws in the air. And did we mention his toe and ear fluff?! He is shy in new places but not shy with people. This fluffy fellow is looking for a home with a feline friend — he'd be an excellent companion cat or we can pair him up with one of his current roommates. Meet this handsome guy at the Brooklyn Cat Cafe!",2023-07-08 17:41:14+00:00
19335088,https://catcafebk.com/our-cats/?cat=19335088,Goose,1 Year 8 Months , Male,True,False,False,False,False,False,Domestic Short Hair ,"Goose is a precious sweetheart. He may seem shy at first but after a few good scritches he opens up and becomes your buddy. He is a curious and clever boy who will sniff around, look in every nook and cranny, and will figure out how to open your closet door if you don’t shut it tight enough. He loves hanging out next to humans or between their legs, playing with a variety of toys (string toys, balls, mice toys, etc), and being a chatterbox. Instead of purring he will honk like a goose when you pet him and once you hit that sweet spot he will roll over and show you his belly. Goose doesn’t like to dine alone; he prefers company while he eats his meals and sometimes needs a little encouragement to finish the food in his bowl.",2023-07-08 17:41:14+00:00
19471351,https://catcafebk.com/our-cats/?cat=19471351,Gumshoe,2 Years 1 Month , Male,False,False,False,False,False,False,Domestic Short Hair ,"Gumshoe is an absolute gem you don’t want to miss out on. He is a large, gray tabby with a bushy tail, tufted ears, and silky-soft fur. He also has an abnormally large head, which you will only get a true sense of once you start petting him. But you better not stop petting him. He’ll be disappointed if you do. This is a very sweet boy. He will glue himself to your side whenever you are anywhere he can find a comfy spot for himself and will even flop over onto your feet while you go to the bathroom. He only occasionally sits in laps, but considering his heft that’s probably a good thing. He meows very little (no morning yowling to wake you up) and purrs quietly but frequently. Just talk to him and he starts the motor and biscuit-making! He will absolutely want to sleep in your bed. In fact, the bed is his favorite place in the whole world. It allows him to sprawl out on his back, with all four legs in the air and his belly totally exposed, in the most shameless pose. It’s sort of dog-like. And speaking of dogs, he eats like one. Put his food out for him and by the time you turn back around, it’s gone. He’s not picky either. Gumshoe is also a chill cat. He rarely misbehaves, mostly keeps off counters and tables, scratches responsibly, and will only ask for attention in sweet, non-obnoxious ways. However, be aware that he does get middle-of-the-night zoomies and will tear around your home, chasing his favorite toys. You can almost tell time by his zoomies! Also, exercise caution while walking. He delights in tangling with ankles and he will appear between your feet as if out of nowhere. Gumshoe would do well with children. He tolerates annoyances and will only nip softly once he has reached his breaking point",2023-07-08 17:41:14+00:00
19458682,https://catcafebk.com/our-cats/?cat=19458682,Hanger & Wagyu,3 Months 19 Days ,,False,True,False,False,True,False,Domestic Short Hair ,"Hanger and Wagyu could have easily been named Yin and Yang for their different and complementary personalities. Hanger, with predominantly white fur and a half spotted mustache, is a true beauty, a hearty eater, playful, curious and quite literally hangs in the arm of a three year old without much fuss. She’s spunky but calms easily, loves a belly rub or neck/chin tickle, and plays gently with her brother and fellow humans. Wagyu is more cautious, tinier, but equally as playful and full of sweetness from ears to tail. He loudly purrs the moment he’s stroked or picked up and the little motor doesn’t stop. He’s also the caretaker of the two, moving aside easily for his hungry sister, and grooms her whiskers and head when relaxing. Like the wag of a dog’s tail, Wagyu’s tireless purr will melt your heart. This 14 week old sibling pair were part of a larger litter slated to be sold to a pet store. Thankfully they were surrendered to the cafe to be adored by their foster humans and are waiting to be adopted as a pair for their permanent home.  Living with 3 and 5 yr old humans, they’re proven easy going and adaptable. They will keep your lap company and bring much fun and joy to your life.",2023-07-08 17:41:14+00:00
